UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
Q03147	0.406	0.379	0.303	0.5225
Q8C5L6	0.457	0.385	0.128	-0.0885
Q62469	0.338	0.589	0.511	0.8175
Q91YJ5	-0.133	-0.063	-0.362	-0.2785
Q6PGE7	0.641	0.656	0.541	0.6035
O55192	-0.098	-0.097	0.067	0.0805
Q6ZWV7	-0.576	-0.428	-0.323	-0.0875
Q9ESF1	0.027	-0.159	0.096	0.0355
Q9D6F4	-0.181	-0.021	-0.141	-0.0485
Q8VCR2	-0.178	-0.083	-0.218	-0.1925
Q9CQC8	-0.059	-0.141	0.143	0.1015
Q9CQU3	-0.383	-0.42	-0.451	-0.4115
Q3U4N2	-0.044	-0.051	-0.114	-0.0785
Q9CPX8	0.274	0.368	0.171	0.4125
P21836	0.302	0.203	0.192	0.0925
Q8BJ63	0.283	0.163	0.153	0.0295
Q8BXN7	-0.159	-0.233	-0.192	-0.2545
Q6TEK5	-0.043	-0.214	-0.042	-0.2775
Q8CAK3	0.104	0.111	-0.157	-0.1385
Q8BKI2	-0.296	-0.182	-0.302	-0.1765
Q9Z138	-0.139	-0.007	-0.202	-0.0005
Q6A0A2	0.307	0.149	0.185	0.0385
E0CYH0	-0.13	-0.226	0.025	-0.0605
G3UVW1	-0.048	0.216	-0.105	0.1205
Q3ZK22	0.063	0.079	0.052	0.0875
Q3V460	-0.473	-0.36	-0.274	-0.1505
Q9JMH7	0.061	0.043	0.097	0.0905
P49935	0.191	0.12	0.197	0.1595
Q9QUR7	0.074	0.174	0.079	0.1995
P0CG14	-0.36	-0.28	-0.278	-0.1585
Q8BS95	0.201	0.155	0.074	0.0575
Q9R0D8	0.057	-0.075	0.135	0.0785
Q9WVI9	-1.244	-0.765	-0.92	-0.4485
Q8C761	-0.289	-0.163	-0.266	-0.1345
E9PYK8	-0.607	-0.468	-0.409	-0.2585
O88745	-0.026	0.2	-0.015	0.2725
P53702	-0.135	0.028	-0.118	0.0165
Q9Z2G0	-0.524	-0.122	-0.705	-0.1135
F8VQB6	0.224	0.142	-0.12	-0.0955
Q9ET80	-0.666	-0.395	-0.601	-0.2525
Q8BLU0	0.325	0.393	0.397	0.3415
E9QJU7	-0.184	0.056	-0.596	-0.3445
Q8CA95-3	-0.027	-0.078	-0.037	-0.0765
Q8R3L2	-0.119	-0.009	-0.153	0.0405
A6PWD2	0.076	0.128	0.021	0.0065
Q9CR39	-0.309	-0.222	-0.318	-0.2195
Q9ESP1	0.135	0.166	0.111	0.2175
Q9CRB6	0.332	0.355	0.224	0.2155
A6PW47	0.388	-0.035	0.338	-0.0955
Q3U1T3	0.569	0.732	0.502	0.6765
Q9QXY7	0.17	0.184	0.271	0.1255
P21956	0.074	0.165	-0.019	0.0945
Q64191	0.233	0.118	0.106	0.0035
Q9ERV1	0.064	0.113	0.034	0.1255
Q3UCV8	-0.134	0.037	-0.188	-0.1015
Q3UDM0	-0.501	-0.228	-0.406	-0.1075
Q80U35	0.264	0.212	0.226	0.1855
G5E8S8	-0.262	0.009	-0.21	-0.0175
Q9QYK7	0.088	0.262	0.096	0.2525
E9Q360	0.107	0.205	-0.118	0.0345
P59823	-0.577	-0.46	-0.523	-0.3945
P53762	0.137	0.24	0.14	0.2545
Q99K30	0.325	0.301	0.353	0.3395
Q5STE3	0.382	0.441	0.304	0.3755
Q9Z120	0.429	0.076	0.299	0.0515
Q91VS8	-0.589	-0.487	-0.695	-0.5815
Q8R5L1	0.329	0.298	0.209	0.1465
P16283	0.084	0.26	0.043	0.1025
Q923B0	0.215	0.168	0.042	0.1465
Q9QXT0	0.25	0.528	0.306	0.6155
Q2EMV9	-0.411	-0.108	-0.36	-0.2535
Q8BTW9	0.777	0.557	0.568	0.4265
Q02105	-0.024	0.007	-0.132	-0.0605
Q68EF0	0.188	0.071	0.183	0.0975
P58390	0.065	0.04	0.037	0.0785
Q91ZP9	-0.014	0.095	0	0.0955
P62627	0.014	0.011	0.085	0.0935
A0A0A0MQN9	-0.307	0.219	0.113	0.6505
G3X975	0.488	0.168	0.283	-0.0245
Q7TQK0	-0.237	-0.132	-0.287	-0.2045
Q9QZ67	0.231	-0.011	0.128	-0.0795
Q9CZH3	0.024	-0.148	0.038	-0.0545
P97868	-0.404	-0.348	-0.302	-0.2335
Q80Y56	-0.159	0.005	-0.388	-0.2125
Q9ERI2	0.139	0.093	-0.101	0.0245
Q8CIP5	-0.795	-0.52	-0.641	-0.3565
Q91XE8	0.124	-0.024	-0.048	-0.1285
A0A087WPM0	-1.166	-0.892	-0.931	-0.6455
Q3U821	0.26	0.107	0.144	-0.0135
Q6GQT1	0.771	0.629	0.65	0.5185
Q8VDP2	0.18	0.001	0.132	0.0135
D3Z7Q2	-0.195	-0.037	-0.081	-0.0245
Q91YT2-2	-0.912	-0.632	-0.839	-0.5035
O35474	0.262	0.215	-0.157	-0.1915
J3QNH8	0.389	0.112	0.204	-0.1225
L7N1Y0	0.327	0.159	0.219	0.0245
P56671	-0.454	-0.323	-0.344	-0.2165
Q6PDX6	-0.816	-0.534	-0.637	-0.3425
E9Q2V7	0.229	0.318	0.222	0.2915
Q8R1H0	0.187	0.314	0.022	0.2795
Q9QYC7	-0.368	0.109	-0.389	0.0435
Q9CXV1	-0.631	-0.693	-0.699	-0.7495
Q8C0K5	-0.004	-0.171	-0.047	-0.1765
Q9JLJ1	-0.446	-0.312	-0.639	-0.3385
Q61285	-0.566	-0.542	-0.265	-0.3335
Q6NT99	-0.101	-0.17	-0.148	-0.1915
Q8JZW5	-0.086	-0.068	-0.152	-0.0615
Q9Z1M4	-0.219	-0.306	-0.198	-0.2735
P14602	-0.167	-0.127	-0.163	-0.1115
Q80SY6	-0.609	-0.544	-0.452	-0.3755
Q8BK03	0.348	0.263	0.098	0.0255
P35546	-0.036	0.106	-0.095	0.0855
P35917	-0.209	-0.27	-0.187	-0.2045
Q8K3J1	0.051	0.064	0.034	-0.0575
Q61112	2.051	2.148	2.045	2.1535
Q6P3Y5	-0.457	-0.452	-0.19	-0.1735
Q9CWU6	0.013	0.034	0.033	0.0425
Q8R5K4	0.325	-0.761	0.7	-0.3735
Q8VIB3	0.03	0.36	-0.143	0.1985
Q8CHU3	0.222	0.12	0.096	0.0905
O08742	0.312	0.202	0.183	0.0875
Q9D5D8	0.086	0.162	0.207	0.2945
Q7M729	1.746	1.841	1.563	1.6685
Q99KD5	0.454	0.455	0.489	0.5015
B1AT59	-0.1	-0.112	-0.044	-0.0235
Q921N6	-0.058	-0.073	0.036	0.0325
P08226	-0.051	0.013	-0.069	-0.0515
A2A8R7	0.002	0.175	-0.019	0.2855
Q80TM6	0.109	0.083	0.101	0.0865
Q8C180	-0.246	-0.521	0.024	-0.2585
Q8K0T4	0.046	0.083	0.027	0.1485
E9QPR7	0.09	0.132	0.075	0.0535
Q8BGE7	0.538	0.224	0.055	-0.2475
E9QPX3	-0.319	-0.249	-0.265	-0.1475
E9PYR1	0.262	0.015	0.039	-0.1275
Q8BUV8	0.137	0.14	0.21	0.2255
Q76M80	0.091	0.011	0.075	0.0105
C0HK80	0.082	0.092	0.153	0.0615
O35639	-0.597	-0.167	-0.582	-0.1295
Q80Y98-2	0.073	0.118	-0.013	-0.0025
A8Y5T6	0.181	0.064	0.129	0.0435
Q3UNN8	1.915	2.152	1.615	1.8575
Q04692	-0.872	-0.642	-0.474	-0.3015
Q5NCI0	-0.279	-0.235	-0.394	-0.3445
Q8BVG8	0.136	0.095	0.147	0.1175
Q8C6M1	-0.131	-0.077	-0.177	-0.1145
Q8K1N2-2	0.781	0.894	0.705	0.8185
A2AUM0	0.269	0.025	0.19	-0.0425
E9Q555	0.076	0.06	0.132	0.1265
Q7TNS2	0.11	0.086	0.022	-0.0115
O08997	0.388	0.451	0.238	0.3135
Q80TS5	-0.39	-0.195	-0.343	-0.1725
Q8CHK4	0.643	0.022	0.791	0.1805
P70271	-0.249	-0.032	-0.256	-0.0275
Q62048	0.622	0.698	0.376	0.4635
Q64343	-0.476	-0.305	-0.516	-0.3725
Q8K0C1-2	-0.052	0.005	0.054	0.0935
F8VQ29	-0.587	-0.462	-0.521	-0.3875
Q8VHG2	0.122	0.106	0.052	0.0995
A0A140LIZ7	-0.052	0.014	-0.137	-0.0995
A0A0A0MQ73	0.002	0.011	0.082	0.0345
Q6DID3	-0.32	-0.077	-0.243	0.0035
Q8K1B8	0.028	-0.002	-0.026	0.0145
Q6VVW5	-0.285	-0.162	-0.073	0.0615
Q6DID5	-0.72	-0.514	-0.584	-0.3215
O88622	0.359	0.074	0.284	0.0315
Q9CQD4	0.186	0.395	0.026	0.3215
Q8BL03	-0.207	-0.107	-0.167	0.0085
G3XA34	0.132	0.141	0.169	0.2325
Q7TSH4	0.862	1.253	0.615	0.9795
Q8CFE5	0.049	-0.243	0.101	-0.0875
P56818	0.621	0.228	0.527	0.3905
B2RUP0	0.404	0.018	0.321	-0.0535
A2AFF6	-0.101	0.003	-0.034	0.0345
Q8BSE0	0.188	0.008	0.035	0.0165
Q6Y7W8	-0.096	0.026	0.007	-0.0275
Q9EPK6	1.017	0.865	1.174	1.0335
P63213	0.387	0.582	0.296	0.5035
A0A087WRM7	-0.087	-0.083	-0.067	-0.0525
Q6PFF0	-0.329	-0.145	-0.236	-0.0395
H9KV04	-0.887	-0.672	-0.646	-0.4625
Q06194	0	-0.102	0.016	-0.0745
F6VUT6	-0.3	0.173	0.054	0.2085
Q9DBX2	0.268	0.169	0.174	0.2305
Q6ZPS6	0.285	0.17	0.099	-0.0045
Q9CS00	0.106	0.029	0.063	-0.0035
Q91YN5	-0.022	-0.125	-0.001	-0.0685
E9QPQ8	-0.046	-0.126	0.012	-0.0715
Q8K3G5	-0.16	-0.156	-0.141	-0.1255
D3YZG8	0.197	0.213	0.128	0.0845
Q7TSK2	0.112	0.114	0.202	0.2145
P60853	0.054	-0.055	0.096	-0.0015
Q8BG21	0.364	0.222	0.275	0.1445
Q69Z61	0.055	0.123	0.053	0.1335
Q6PD31	-0.277	-0.222	-0.392	-0.3255
D3Z0K6	-0.008	0.744	0.167	0.5765
P58682	1.357	1.449	0.456	0.5595
P29788	-0.156	-0.154	-0.181	-0.1675
Q7TQK5	-0.378	-0.351	-0.285	-0.0875
H3BL40	0.384	0.28	0.126	0.1155
O35691	0.212	0.211	0.031	0.0685
Q8R516	-0.082	-0.03	-0.07	0.0235
Q8WUR0	-0.093	-0.015	-0.095	-0.0045
Q8K409	-0.211	0.006	-0.177	0.0525
Q9DAZ9	-0.357	-0.256	-0.248	-0.1085
Q63870	-0.172	-0.134	0.001	0.0515
Q9DC22	-0.409	-0.211	-0.23	-0.0085
Q9CVD2	0.06	0.106	0.048	0.1055
E9Q6R7	0.09	0.392	0.02	0.3125
Q8R2Y9	-0.155	-0.265	-0.222	-0.3485
Q63961	0.187	0.15	0.154	0.1285
Q6ZPV2	0.106	0.071	0.031	0.0045
Q5RJG7	-0.325	-0.188	-0.2	-0.0525
Q3UFK8	0.077	0.174	-0.008	0.1705
Q6NVF4	-0.169	-0.057	-0.198	-0.1265
Q9QYM5	0.07	-0.015	0.052	-0.0215
Q99ML4	-0.349	-0.137	-0.496	-0.2495
Q0VEE6	0.478	0.257	0.3	0.0915
D3YWS8	0.135	-0.021	0.033	-0.0225
Q9CX00	0.287	0.47	0.32	0.4685
E9Q8V6	0.171	0.055	0.211	0.1065
Q8BJ03	-1.08	-0.87	-1.004	-0.8305
Q9EP75	-0.088	-0.066	-0.179	-0.0865
P55821	0.164	0.072	0.218	0.1785
Q8K3B1	-0.174	-0.164	-0.361	-0.3395
H3BJH0	-0.402	-0.274	-0.309	-0.1465
Q9D009	-0.636	-0.496	-0.606	-0.4545
Q6PCM2	-0.314	-0.15	-0.281	-0.1055
Q91VY9	-1.129	-0.827	-0.932	-0.6255
Q8BIX3	-0.362	-0.273	-0.314	-0.2495
Q3U1F9	0.127	0.113	0.046	0.0435
Q61823	-0.566	-0.318	-0.683	-0.3725
Q921C5-2	-0.772	-0.408	-0.67	-0.3055
E9Q8T7	-0.54	-0.4	-0.479	-0.3365
P62509	-0.326	-0.238	-0.178	-0.1095
Q91YD4	-0.423	-0.357	-0.65	-0.5735
Q9D5S7	-0.719	-0.496	-0.666	-0.4125
G5E8R8	0.122	0.196	0.005	0.1285
Q9CPT3	0.154	-0.145	0.221	-0.0605
Q923E4	0.574	0.48	0.398	0.3165
Q9Z0J0	0.188	0.167	0.127	0.1775
Q91W53	-0.681	-0.535	-0.518	-0.3805
Q9WV68	-0.108	-0.106	-0.213	-0.1645
E9Q284	-0.355	-0.259	-0.155	-0.0475
Q60866	0.234	0.227	0.197	0.2015
Q8BGT6	-0.781	-0.652	-0.717	-0.5155
Q8C3X8	-0.009	-0.16	-0.037	-0.1715
Q8CFP6	-0.425	-0.282	-0.481	-0.3265
H3BJD6	-0.492	-0.313	-0.52	-0.2855
Q3KR45	-0.284	-0.315	-0.27	-0.2515
Q8VCF0	0.051	0.112	-0.121	-0.0665
P35969	-0.083	-0.042	-0.149	-0.1465
Q8C3Q5	0.767	0.837	0.64	0.6525
B2KF05	0.19	-0.226	-0.255	-0.6585
O08796	0.311	0.198	0.247	0.1455
Q9D2R8	0.001	0.083	-0.083	-0.0745
Q9WUD8	-0.518	-0.24	-0.63	-0.3895
Q9JLM4	-0.044	0.108	-0.022	0.1415
Q80Y84	-0.922	-0.834	-0.712	-0.6125
P97363	0.093	-0.166	-0.096	-0.3445
Q5FWX6	0.404	0.212	0.27	-0.0375
Q3UHA3	0.159	0.108	0.126	0.0865
Q8BZ21	-0.528	-0.192	-0.523	-0.1755
E9PYF4	-0.249	-0.382	-0.111	-0.2315
Q64338	-0.144	-0.223	-0.1	-0.1645
Q91YY4	0.2	0	-0.054	-0.1085
H3BL08	-0.473	-0.36	-0.377	-0.2305
P0DM40	0.233	0.092	0.006	-0.0255
A2AP88	0.399	0.559	0.421	0.5925
Q9Z2X8	0.136	-0.01	0.158	0.0235
Q8CJF7	-0.326	-0.276	-0.364	-0.3025
Q5Y5T5	-0.16	0.106	-0.146	0.0495
Q8BR70	0.502	0.568	0.481	0.5595
Q03157	0.953	1.717	0.632	1.4085
Q9D0D4	0.073	-0.14	0.078	-0.1655
Q9Z0S9	0.165	0.345	0.143	0.3345
Q8BH07	-0.517	-0.555	-0.363	-0.3905
D6RFQ2	-0.59	-0.433	-0.581	-0.4605
Q68FF7	-0.495	-0.306	-0.42	-0.2205
Q8CIF6-2	-0.23	-0.081	-0.207	0.0055
Q9CY50	1.346	1.528	1.424	1.5405
P15655	0.036	-0.067	0.101	-0.0215
Q0VF58	0.237	0.393	0.14	0.2895
Q9D3S3	0.384	0.365	0.279	0.2715
P10107	-0.314	-0.308	-0.246	-0.2535
D3Z720	0.209	-0.234	-0.46	-0.6895
Q8K1X4	-0.803	-0.732	-0.712	-0.6335
Q3UKC1	-0.628	-0.251	-0.517	-0.1375
Q8BWY7	-0.506	-0.529	-0.298	-0.2685
P58801	-0.164	-0.058	-0.116	-0.0155
Q91X52	-0.513	-0.422	-0.559	-0.4565
Q03249	0.084	0.096	0.079	0.1035
G3UYU0	-0.168	-0.171	0.027	0.0535
Q80XH4	-0.32	-0.121	-0.402	-0.1625
Q9CY73	0.101	-0.003	0.008	-0.0905
Q8BIQ5	-0.044	0.006	0.027	0.0815
Q8C5D8	0.443	0.271	0.288	0.0385
D3YYQ8	0.437	0.267	0.261	0.3215
Q9D708	0.038	-0.016	-0.041	-0.0835
Q99L90	-0.213	-0.211	-0.112	-0.0985
Q91V57	-0.272	-0.127	-0.297	-0.1415
Q9WUB0	0.022	0.047	0.223	0.2605
E9QMF5	-0.038	-0.111	-0.073	-0.1335
Q9QYC1	-0.259	-0.304	-0.478	-0.5125
Q8BIP0	0.053	0.018	-0.011	-0.0135
Q8BW56	0.206	0.026	0.08	-0.0885
Q0VAV2	0.675	0.131	0.593	-0.1045
Q924T3	0.339	-0.209	0.269	0.0335
E9Q3P4	0.273	0.074	-0.081	-0.4385
E9Q2T3	-0.323	-0.125	-0.473	-0.2635
Q8K2M0	0.033	0.113	-0.321	0.0685
P63239	-0.276	-0.135	-0.237	-0.0335
Q80TY0	0.103	0.266	0.034	0.1385
Q3UI43	0.306	0.548	0.212	0.4005
Q3UHH1	-0.115	-0.02	-0.013	0.0945
J3QN19	0.215	0.196	0.122	0.1145
Q3UX37	0.838	0.832	0.755	0.7855
G3UW39	-0.197	-0.147	-0.183	-0.1215
O35551-6	-0.211	-0.229	-0.334	-0.2795
Q80XL7-2	0.311	0.177	0.142	0.0195
Q91YJ3	0.009	0.043	0.014	0.0595
Q9R1X5	-0.267	0.21	-0.383	0.1055
Q9D8B6	-0.453	-0.35	-0.247	-0.2475
Q99J56	-0.164	-0.163	-0.134	-0.0345
Q9Z307	0.039	0.238	-0.057	0.1615
Q3UFF7	-0.414	-0.312	-0.375	-0.2615
Q6P1G0	-0.758	-0.386	-0.772	-0.4365
Q61120	-0.133	-0.14	-0.185	-0.1805
P27671	0.327	-0.042	0.083	-0.1215
Q71B07	-0.172	-0.026	-0.133	-0.2185
Q9EQR4	-0.222	-0.016	-0.295	-0.0055
Q61086	-0.168	-0.113	-0.119	-0.0525
Q8BZJ7	-0.18	-0.05	-0.268	-0.0865
D3Z6S9	0.718	0.518	0.557	0.3675
Q3UH53	0.225	0.248	0.041	0.1115
E9PVQ3	-0.964	-0.846	-0.88	-0.7505
Q5DTW7	-1.155	-0.659	-1.155	-0.6475
P28843	0.006	0.056	0.09	-0.0565
Q8R1U1	-0.115	0.06	-0.061	0.1245
Q08024	-0.097	-0.158	-0.018	-0.0745
Q80ZE5	0.003	-0.104	0.061	-0.0345
O70583	-0.058	-0.107	-0.187	-0.1475
A0A0KG62	-1.544	-0.716	-1.44	-0.8505
Q8BMI0	-1.018	-0.678	-0.907	-0.6205
Q99J27	-0.173	-0.259	-0.148	-0.1815
Q5DW34	0.013	-0.2	-0.178	-0.2255
Q0VG85-6	-0.332	-0.237	-0.334	-0.2275
Q80VA0-2	-0.227	-0.234	-0.144	-0.1775
Q9JIG7	-0.2	0.012	-0.186	0.0365
P49962	0.333	-0.463	0.219	-0.5645
P56383	0.286	0.202	0.321	0.2705
Q9D1D1	0.2	0.271	0.248	0.3265
Q9CZ62	0.17	0.214	0.19	0.1655
M0QWX4	-0.463	-0.649	-0.322	-0.4075
Q6PE54	0.073	-0.033	-0.094	-0.1885
Q8VE04	0.457	0.682	0.313	0.5635
Q9D9X6	2.003	2.921	1.804	2.7335
J3QMP9	-0.347	-0.34	-0.535	-0.5235
Q8QZR0	-0.653	-0.466	-0.357	-0.1585
Q8VDS4	0.142	0.149	0.108	0.1545
Q9CQS8	-0.742	-0.518	-0.798	-0.4735
P15306	-0.565	-0.392	-0.406	-0.0805
Q8C4S8	-1.058	-0.887	-0.787	-0.6045
Q9D823	-0.011	0.283	0.048	0.3035
O88196	1.066	1.141	0.815	0.9015
Q80V31	1.001	0.89	0.907	0.8075
Q8K1S6	-0.854	-0.588	-0.761	-0.4835
Q6IFT4	-0.103	0.054	0.036	0.2045
Q60767	-0.184	0.213	-0.326	-0.0255
Q9WU28	0.282	0.263	0.224	0.2245
Q3V129-6	-0.414	-0.309	-0.361	-0.3075
G5E8P0	-0.115	-0.015	-0.075	0.1325
P00158	0.699	0.73	0.504	0.5325
Q5S006	1.149	0.938	0.801	0.7425
E9QKB2	0.009	0.076	0.084	0.1625
Q8BXA0-2	0.182	0.092	0.168	0.0895
Q9D8	-0.104	-0.16	-0.074	-0.1255
G5E8U5	-0.135	-0.142	-0.149	-0.1445
G3UW78	0.378	0.404	0.162	0.1995
E9PW83	-0.372	-0.457	-0.007	-0.0805
Q920F6	-0.676	-0.333	-0.516	-0.1615
Q9DCC8	0.243	0.303	0.147	0.1285
Q9CY16	-0.121	0.076	-0.127	0.0815
P41230	-0.419	-0.238	-0.455	-0.2625
Q8K3Z0-2	0.759	0.726	0.406	0.4175
Q3U3R4-2	-0.589	-0.545	-0.646	-0.5905
Q3UZP4	-0.135	-0.021	-0.209	-0.0945
G3UW74	0.219	0.131	0.051	0.0005
Q9QYM9	0.781	0.804	0.622	0.6565
E9PUU8	0.184	0.168	0.194	0.1975
Q6NZK8-3	-0.198	-0.243	-0.256	-0.2895
Q61666	0.12	0.107	0.169	0.1685
Q9D8T7	-0.44	0.002	-0.158	0.1415
B1AR13	0.199	0.316	0.11	0.2395
Q3UJB0	-0.121	-0.04	-0.203	-0.0725
Q8BP27	0.023	-0.118	-0.132	-0.2625
A2AS03	0.166	0.362	0.195	0.4035
Q9D2R6	0.263	0.278	0.199	0.2255
Q9R0L6-2	0.838	0.81	0.756	0.7405
Q9JLV1	-0.22	0.003	-0.25	-0.0155
Q99LI9	0.328	0.74	0.534	0.9585
Q9Z2B1	0.851	0.797	0.767	0.7245
Q8BGS0	0.128	-0.015	0.244	0.1125
Q3UV66	-0.164	-0.091	-0.186	-0.1025
Q8JZP9	-0.499	-0.231	-0.267	-0.1135
A2AL36	0.352	0.188	0.222	0.0705
Q8VHN7	0.354	0.312	0.253	0.2225
Q80WV7	-0.637	-0.071	-0.672	-0.2195
Q8BW94	0.734	0.327	0.147	-0.2885
O54972	0.019	-0.123	-0.376	-0.5065
Q9Z268	0.091	0.152	-0.053	0.0135
A2AKX3	0.42	0.254	0.265	0.1575
Q9JIZ0	-0.34	-0.202	-0.369	-0.2035
F8VQ72	0.107	-0.003	0.085	-0.1145
A0A0R4J031	0.063	-0.096	-0.021	-0.1675
P08121	-0.132	-0.003	-0.245	-0.0915
P49138	-0.385	-0.22	-0.622	-0.4455
Q9QZV9	-0.337	-0.401	-0.432	-0.4845
Q8K124	-0.297	-0.133	-0.403	-0.2265
E9PVG8	-1.804	-1.864	-0.958	-1.0615
Q9Z0E8	-0.023	-0.27	-0.121	-0.2555
Q3U109	-0.42	-0.463	-0.509	-0.4045
Q9D8V7	-0.631	-0.413	-0.526	-0.2025
P70303	0.25	0.118	0.107	0.0525
Q80SU7	-0.332	-0.101	-0.321	-0.1275
Q8VID5	-0.097	-0.357	-0.111	-0.3675
Q91VJ4	-0.01	-0.087	0.014	-0.2155
E9QP54	-0.161	-0.017	-0.085	0.0705
Q6P8G8	-0.577	-0.258	-0.523	-0.2345
O55196	-0.286	-0.08	-0.372	-0.1545
Q8CB12	-0.531	-0.193	-0.446	-0.0975
Q920Q2	-1.117	-0.827	-1.008	-0.6905
A2AW15	0.291	0.203	0.337	0.2595
Q91YE7	0.116	-0.021	0.096	0.0135
Q9CZT4	0.628	0.728	0.541	0.6535
P58871	0.441	0.282	0.039	-0.1715
Q3UMR0	0.123	0.089	-0.178	0.0105
Q571F8	-0.261	-0.059	-0.242	-0.0615
Q8VE18	-0.966	-0.866	-0.708	-0.4545
Q9CWP6	-0.281	-0.164	-0.204	-0.0755
Q8CBG9	-0.122	0.242	-0.16	0.0465
Q62240	-0.84	-0.569	-0.636	-0.6255
Q9QY23-2	-0.511	-0.485	-0.381	-0.4115
E0CZ42	0.074	0.008	-0.159	-0.2475
Q61282	1.246	1.379	1.075	1.2235
P98197	0.597	0.322	0.317	0.0545
F8VQG7	0.728	0.781	0.497	0.5875
A0A286YD02	0.027	-0.024	-0.293	-0.2515
Q8VD26	0.453	0.508	0.331	0.3975
Q8R1R3	-0.072	-0.205	-0.116	-0.2185
B8JK87	0.648	0.601	0.5	0.4635
Q80Y14	-0.442	-0.137	-0.339	-0.1275
P01029	0.062	0.131	0.115	0.1955
Q5NCH9	0.223	0.217	0.093	0.1475
Q7TQ32	0.7	0.468	0.512	0.3105
Q9CZ52	0.187	0.275	-0.016	0.0795
Q65CL1	0.548	0.584	0.481	0.5885
Q8CGC6	0.741	0.474	0.492	0.2365
Q9WTL2	-0.262	-0.086	-0.202	-0.0145
B7ZCC9	-0.352	-0.113	-0.129	0.1215
F8VQ79	0.692	1.028	0.685	0.7455
Q8BGD9	1.087	1.447	0.931	1.2645
Q6ZQB6	-0.056	-0.05	-0.016	0.0025
Q99J87	0.947	1.332	0.696	1.0915
P51910	-0.064	0.113	-0.059	0.1285
Q9ESM3	0.224	0.202	0.124	0.1135
Q8BGF3	0.272	0.26	0.079	0.0895
P0DN34	0.081	0.21	0.039	0.1305
F8WJF7	-0.029	-0.178	-0.304	-0.4415
Q8C1D8	-0.058	0.088	-0.016	0.1835
P51612	0.148	0.115	-0.139	-0.1595
Q5NBY9	-0.186	-0.158	-0.138	-0.0985
A2RS33	0.041	0.077	-0.019	0.0385
B1AU75	0.409	0.175	0.382	0.1705
G5E893	0.549	0.773	0.407	0.6415
Q9QZR0	0.038	-0.401	-0.033	-0.3445
F7C0E4	-0.047	-0.1	0.016	-0.0295
Q8R2H9	-0.613	-0.389	-0.596	-0.3715
Q99L88	-0.344	-0.287	-0.34	-0.2735
A2AG68	-0.445	-0.365	-0.513	-0.4225
Q8C0S4	0.129	-0.133	0.213	-0.1815
Q5SV85	-0.103	-0.088	-0.236	-0.2095
B2RUQ2	-0.344	-0.432	-0.251	-0.4065
P48776	0.304	0.225	0.174	0.2005
O35130	0.083	0.163	0.094	0.1855
Q80WQ4	-0.215	-0.05	-0.214	-0.0225
Q9Z2F6	-0.038	0.055	-0.104	0.0005
O89019	-0.693	-0.432	-1.103	-0.3495
Q6NV66	0.168	0.253	0.345	0.3885
Q8C8U0-3	0.647	0.405	0.532	0.3015
Q63ZW7	-0.395	-0.444	-0.386	-0.4235
Q3UES3	1.297	1.255	1.097	1.0655
G5E869	-0.362	-0.471	-0.318	-0.2405
Q9QY39	-0.382	-0.218	-0.313	-0.1375
Q925T6	-0.29	-0.245	-0.216	-0.1605
Q91X88	0.482	0.617	0.24	0.3865
Q6PCL9	0.299	0.009	0.244	-0.0345
Q9D168	-0.222	-0.043	-0.128	0.0625
Q6ZQF0	0.012	0.085	0.122	0.1765
Q8BGZ1	0.713	0.896	0.628	0.8245
Q921X9	0.249	0.094	0.187	0.0435
Q8K3F6	-0.445	-0.365	-0.513	-0.4225
P28063	0.581	0.65	0.691	0.7715
Q8R139	0.018	-0.184	0.023	-0.1935
J3QML2	1.837	1.618	1.273	1.0665
Q9D4F8	1.278	1.412	0.806	0.9515
Q3UM33	-0.218	-0.159	-0.128	-0.0715
Q640L5	-0.125	-0.717	-0.792	-1.2215
Q9QXV0	0.199	0.139	0.214	0.1665
A2CG28	-0.327	-0.01	-0.142	0.1095
P29037	0.042	0.002	0.086	0.0575
P35951	1.388	1.503	1.185	1.3125
D3Z2X2	0.356	0.416	0.336	0.5545
Q5SQM0	-0.617	-0.54	-0.513	-0.4255
Q2QI47-3	-0.339	-0.21	-0.377	-0.2385
Q61194	-0.104	0.162	0.417	0.7255
A2AM05	-0.887	-0.635	-0.88	-0.6165
J3QK52	1.066	1.141	0.815	0.9015
Q9D6U8	-0.138	-0.033	-0.121	-0.0045
Q9CQ88	0.138	0.122	0.201	0.1635
Q3UFS0	0.048	-0.107	0.007	-0.1365
Q5NCX5	-0.277	-0.187	-0.099	-0.1125
Q9DC11	0.117	0.098	0.021	0.0945
B2RU80	-0.11	-0.207	0.14	0.0525
O88783	0.412	0.41	0.2	0.2095
Q80Y83	0.374	0.42	0.171	0.2295
Q3UHX9	-0.544	-0.397	-1.019	-0.3645
D3YXG0	-0.759	-0.361	-0.762	-0.3905
J3QNE4	0.258	0.112	0.119	0.0295
Q8VCB3	-0.31	-0.214	-0.27	-0.1635
Q5NC05	-0.495	-0.312	-0.545	-0.2545
B1AVK5	-0.172	-1.012	0.011	-0.4435
Q9DBL2-2	0.07	0.058	0.113	0.1115
P30412	1.436	1.542	1.092	1.2045
P62274	-0.441	-0.429	-0.48	-0.4575
P81069	1.024	1.282	0.826	1.0045
Q9CXW2	-0.17	-0.057	-0.083	0.0415
