UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
Q62179	0.444	0.41	0.33	0.3235
Q3UHE1	0.046	-0.015	-0.046	-0.0975
Q99JG2	-0.012	0.062	-0.113	-0.0805
Q91VK4	0.264	0.14	0.211	0.1165
A2A791	0.162	-0.008	0.178	0.0315
Q60738	0.315	0.241	0.268	0.2705
Q6PE13	0.242	0.199	0.167	0.1815
E9PUU4	0.073	0.012	-0.036	0.0055
O70252	0.201	0.252	0.092	0.1305
Q8CFA2	-0.182	-0.137	-0.148	-0.0605
Q8K004	-0.289	-0.198	-0.163	-0.0645
Q8VHW4	0.196	0.192	0.086	0.0645
O08539	0.249	0.184	0.178	0.0595
Q9QY36	-0.107	-0.071	0.012	0.0345
P22933	0.055	0.08	-0.06	0.0225
Q61103	0.257	0.019	0.124	0.0295
Q9DCU6	0.007	-0.15	0.026	-0.1395
Q9WUH7	0.28	0.264	0.098	0.1335
Q69ZR9	-0.386	-0.15	-0.409	-0.1845
Q3UDR8	0.131	0.036	0.098	-0.0095
Q8BGA9	-0.366	-0.368	-0.261	-0.2105
P97760	0.213	0.156	0.228	0.1775
Q8BK	0.181	0.239	0.157	0.2045
Q9EQH2	0.297	0.187	0.225	0.1385
Q8JZV7	0.114	0.162	0.087	0.1725
Q3UUQ7	0.07	-0.133	-0.042	-0.2055
Q921L3	-0.11	-0.151	-0.101	-0.1305
Q9WV32	-0.183	-0.16	-0.093	-0.0745
Q4PZA2-4	0.772	0.753	0.652	0.6575
Q91YM4	0.135	0.108	0.095	0.0535
Q8VHC3	1.001	1.018	0.965	0.9935
Q9CXG3	-0.08	-0.149	0.031	-0.1395
Q8BU14	-0.604	-0.454	-0.436	-0.3235
E9PWI3	0.062	-0.001	-0.147	-0.1515
Q9QWH1	-0.083	0.008	-0.142	-0.0185
Q5SWD9	0.023	-0.342	-0.026	-0.3225
O55026	0.886	0.887	0.665	0.5665
Q6P2L7	1.028	0.866	1.014	0.8775
Q9QZS3	-0.139	0.038	-0.14	0.0115
Q8CCB4	0.119	0.053	0.069	0.0775
P62309	0.641	0.647	0.6	0.4475
P52431	0.281	0.359	0.305	0.2615
O35685	-0.265	-0.015	-0.057	0.2085
